intent,query,answer
인공지능학과,과사무실 위치,"인공지능학과 사무실
위치 : 대양AI센터 401호
전화 : 02-6935-2483"
인공지능학과,과사무실 전화번호,"인공지능학과 사무실
위치 : 대양AI센터 401호
전화 : 02-6935-2483"
인공지능학과,과사무실 정보 알려줘,"인공지능학과 사무실
위치 : 대양AI센터 401호
전화 : 02-6935-2483"
인공지능학과,공학교육센터,http://abeek.sejong.ac.kr/abeek/program1802.html
인공지능학과,공학인증,http://abeek.sejong.ac.kr/abeek/program1802.html
인공지능학과,공학인증 과정,http://abeek.sejong.ac.kr/abeek/program1802.html
인공지능학과,학과 홈페이지,http://home.sejong.ac.kr/~aidpt/
인공지능학과,학과 홈페이지 알려줘,http://home.sejong.ac.kr/~aidpt/
인공지능학과,학과 공지사항,http://home.sejong.ac.kr/~aidpt/21.html
인공지능학과,학과 공지사항 알려줘,http://home.sejong.ac.kr/~aidpt/21.html
인공지능학과,21학번 수강이수표,http://abeek.sejong.ac.kr/abeek/program1802_1.html
인공지능학과,22학번 수강이수표,http://abeek.sejong.ac.kr/abeek/program1802_2.html
인공지능학과,23학번 수강이수표,http://abeek.sejong.ac.kr/abeek/program1802_3.html
인공지능학과,21학번 이수체계도,http://abeek.sejong.ac.kr/abeek/program1802_1.html
인공지능학과,22학번 이수체계도,http://abeek.sejong.ac.kr/abeek/program1802_2.html
인공지능학과,23학번 이수체계도,http://abeek.sejong.ac.kr/abeek/program1802_3.html
인공지능학과,우리과 소개해줘,"세종대학교 인공지능학과는 인공지능(AI) 분야의 글로벌 역량을 갖춘 FOCUS 인재상과 SEJONG AI 교육 및 연구 철학에 역점을 두고 있습니다. 
인공지능학과의 목표는 인공지능핵심(AI-Core)을 이해하고 인공지능응용(AI-X) 기술을 구현하는 것입니다.
인공지능학과의 교육 체계는 인공지능 기술을 명확하게 이해하고 정확하게 적용할 수 있는 맞춤형 교과과정, 창의적 문제 해결 능력을 키우는 컴퓨팅 사고 교육 과정으로 구성 되어 있습니다. 
인공지능학과의 교수진은 최신의 인공지능 기술을 연구하는 교수진으로 이론과 실무 능력을 갖추고 있습니다."
인공지능학과,우리과 정보 알려줘,"세종대학교 인공지능학과는 인공지능(AI) 분야의 글로벌 역량을 갖춘 FOCUS 인재상과 SEJONG AI 교육 및 연구 철학에 역점을 두고 있습니다. 
인공지능학과의 목표는 인공지능핵심(AI-Core)을 이해하고 인공지능응용(AI-X) 기술을 구현하는 것입니다.
인공지능학과의 교육 체계는 인공지능 기술을 명확하게 이해하고 정확하게 적용할 수 있는 맞춤형 교과과정, 창의적 문제 해결 능력을 키우는 컴퓨팅 사고 교육 과정으로 구성 되어 있습니다. 
인공지능학과의 교수진은 최신의 인공지능 기술을 연구하는 교수진으로 이론과 실무 능력을 갖추고 있습니다."
인공지능학과,교수,http://sejong.ac.kr/college/software_07_2.html
인공지능학과,교수진,http://sejong.ac.kr/college/software_07_2.html
인공지능학과,우리과 교수님,http://sejong.ac.kr/college/software_07_2.html
인공지능학과,자유게시판,http://home.sejong.ac.kr/gobbslist.do?wslID=aidpt&menuID=21
인공지능학과,학과 홍보게시판,http://home.sejong.ac.kr/gobbslist.do?wslID=aidpt&menuID=21
인공지능학과,학과 연구실,http://home.sejong.ac.kr/~aidpt/17.html
인공지능학과,교과과정,http://home.sejong.ac.kr/~aidpt/26.html
인공지능학과,학과 교과과정,http://home.sejong.ac.kr/~aidpt/26.html
인공지능학과,1학년 수업목록,"(1학기) C프로그래밍및실습
(2학기) 고급C프로그래밍및실습, 이산수학및프로그래밍"
인공지능학과,2학년 수업목록,"(1학기) 확률통계및프로그래밍, 기계학습개론, 자료구조및실습, 데이터분석개론, 웹프로그래밍, 인공지능수학1, 빅데이터로보는세상 
(2학기) 선형대수및프로그래밍, 알고리즘및실습, 컴퓨터구조, 파이썬기반기계학습, 멀티미디어, 인공지능수학2, 디지털신호처리"
인공지능학과,3학년 수업목록,"(1학기)딥러닝개론, 영상처리, 자연어처리, 수치해석, 데이터베이스, 컴퓨터그래픽스, 운영체제, 인공지능과사이버보안
(2학기)파이썬기반딥러닝, 지능형시스템, 패턴인식, 데이터시각화, 인공지능보안, 대용량데이터처리, AR/VR/MR"
인공지능학과,4학년 수업목록,"(1학기) Capstone디자인(산학협력프로젝트), 졸업연구및진로1, 강화학습, 인공지능최적화, 딥러닝시스템, 인공지능콜로키움1, 소셜네트워크분석및예측, 시계열데이터분석및예측 
(2학기) 졸업연구및진로2, 특허와창업, Human AI interaction, 앱프로그래밍, 인공지능콜로키움2, 빅데이터분석및예측프로젝트, 메타버스설계"
컴퓨터공학과,과사무실 어디야,"컴퓨터공학과
사무실: 대양AI센터 442호
연락처: (학부) 02-3408-3321 / (대학원) 02-3408-4338 / (공학인증) 02-3408-3662 / (팩스) 02-3408-4321
업무시간: (학기 중) 09:00~17:00 / (방학 중) 10:00~16:00 / 주말 및 공휴일 휴무"
컴퓨터공학과,과사무실 위치,"컴퓨터공학과
사무실: 대양AI센터 442호
연락처: (학부) 02-3408-3321 / (대학원) 02-3408-4338 / (공학인증) 02-3408-3662 / (팩스) 02-3408-4321
업무시간: (학기 중) 09:00~17:00 / (방학 중) 10:00~16:00 / 주말 및 공휴일 휴무"
컴퓨터공학과,과사무실 전화번호,"컴퓨터공학과
사무실: 대양AI센터 442호
연락처: (학부) 02-3408-3321 / (대학원) 02-3408-4338 / (공학인증) 02-3408-3662 / (팩스) 02-3408-4321
업무시간: (학기 중) 09:00~17:00 / (방학 중) 10:00~16:00 / 주말 및 공휴일 휴무"
컴퓨터공학과,과사무실 정보 알려줘,"컴퓨터공학과
사무실: 대양AI센터 442호
연락처: (학부) 02-3408-3321 / (대학원) 02-3408-4338 / (공학인증) 02-3408-3662 / (팩스) 02-3408-4321
업무시간: (학기 중) 09:00~17:00 / (방학 중) 10:00~16:00 / 주말 및 공휴일 휴무"
컴퓨터공학과,학과 홈페이지,http://home.sejong.ac.kr/~cedpt/
컴퓨터공학과,학과 홈페이지 알려줘,http://home.sejong.ac.kr/~cedpt/
컴퓨터공학과,학과 공지사항,https://home.sejong.ac.kr/~cedpt/32.html
컴퓨터공학과,학과 공지사항 알려줘,https://home.sejong.ac.kr/~cedpt/32.html
컴퓨터공학과,공학인증,http://abeek.sejong.ac.kr/abeek/program0302.html
컴퓨터공학과,컴공 공학인증,http://abeek.sejong.ac.kr/abeek/program0302.html
컴퓨터공학과,16학번 수강이수표,http://abeek.sejong.ac.kr/abeek/program0302_3.html
컴퓨터공학과,17학번 수강이수표,http://abeek.sejong.ac.kr/abeek/program0302_4.html
컴퓨터공학과,18학번 수강이수표,http://abeek.sejong.ac.kr/abeek/program0302_5.html
컴퓨터공학과,19학번 수강이수표,http://abeek.sejong.ac.kr/abeek/program0302_6.html
컴퓨터공학과,20학번 수강이수표,http://abeek.sejong.ac.kr/abeek/program0302_7.html
컴퓨터공학과,21학번 수강이수표,http://abeek.sejong.ac.kr/abeek/program0302_8.html
컴퓨터공학과,22학번 수강이수표,http://abeek.sejong.ac.kr/abeek/program0302_9.html
컴퓨터공학과,23학번 수강이수표,http://abeek.sejong.ac.kr/abeek/program0302_10.html
컴퓨터공학과,16학번 이수체계도,http://abeek.sejong.ac.kr/abeek/program0302_3.html
컴퓨터공학과,17학번 이수체계도,http://abeek.sejong.ac.kr/abeek/program0302_4.html
컴퓨터공학과,18학번 이수체계도,http://abeek.sejong.ac.kr/abeek/program0302_5.html
컴퓨터공학과,19학번 이수체계도,http://abeek.sejong.ac.kr/abeek/program0302_6.html
컴퓨터공학과,20학번 이수체계도,http://abeek.sejong.ac.kr/abeek/program0302_7.html
컴퓨터공학과,21학번 이수체계도,http://abeek.sejong.ac.kr/abeek/program0302_8.html
컴퓨터공학과,22학번 이수체계도,http://abeek.sejong.ac.kr/abeek/program0302_9.html
컴퓨터공학과,23학번 이수체계도,http://abeek.sejong.ac.kr/abeek/program0302_10.html
컴퓨터공학과,공학인증,http://home.sejong.ac.kr/~cedpt/31.html
컴퓨터공학과,공학인증 과정,http://home.sejong.ac.kr/~cedpt/31.html
컴퓨터공학과,우리과 소개해줘,"본 학과는 컴퓨터구조와 설계를 다루는 하드웨어 분야, 전산기기를 효과적으로 사용하는 방법을 연구하는 소프트웨어 분야의 기본적인 개념을 익히고 이를 응용하는 능력을 배양하는 데 주안점을 두고 있습니다. 하드웨어 분야에서는 디지털시스템, 컴퓨터구조론, 마이크로컴퓨터 등을 다루면서 다양한 실험·실습을 병행합니다. 소프트웨어 분야에서는 C, C++, JAVA, C#과 같은 프로그래밍 언어와 문법, 운영체제, 자료구조론, 컴퓨터그래픽스, 인공지능, 정보통신, 멀티미디어, 디지털신호, 영상처리 등을 배울 수 있습니다."
컴퓨터공학과,우리과 정보 알려줘,"본 학과는 컴퓨터구조와 설계를 다루는 하드웨어 분야, 전산기기를 효과적으로 사용하는 방법을 연구하는 소프트웨어 분야의 기본적인 개념을 익히고 이를 응용하는 능력을 배양하는 데 주안점을 두고 있습니다. 하드웨어 분야에서는 디지털시스템, 컴퓨터구조론, 마이크로컴퓨터 등을 다루면서 다양한 실험·실습을 병행합니다. 소프트웨어 분야에서는 C, C++, JAVA, C#과 같은 프로그래밍 언어와 문법, 운영체제, 자료구조론, 컴퓨터그래픽스, 인공지능, 정보통신, 멀티미디어, 디지털신호, 영상처리 등을 배울 수 있습니다."
컴퓨터공학과,교수,img_ce_pro.jpg
컴퓨터공학과,1학년 수업 목록,"(1학기) C프로그래밍및실습
(2학기) 고급C프로그래밍및실습, 공학설계기초"
컴퓨터공학과,2학년 수업 목록,"(1학기) 자료구조및실습, 디지털시스템, 문제해결및실습:C++, 웹프로그래밍
(2학기) 알고리즘및실습, 컴퓨터구조, 이산수학및프로그래밍, 문제해결및실습:JAVA, 멀티미디어, 오픈소스SW개론"
컴퓨터공학과,3학년 수업 목록,"(1학기) 운영체제, 데이터베이스, 오픈소스SW공학, 확률통계및프로그래밍, 컴퓨터그래픽스, 신호및시스템, 웹프로그래밍설계, 프로그래밍언어의개념, C#프로그래밍, VHDL프로그래밍
(2학기) 컴퓨터네트워크, 선형대수및프로그래밍, 디지털신호처리, 소프트웨어공학, Unix프로그래밍, XML프로그래밍, 멀티코어프로그래밍, 통신시스템, 문제해결기법"
컴퓨터공학과,4학년 수업 목록,"(1학기) Capstone디자인, 영상처리, 임베디드시스템, 정보보호개론, 무선통신, 인공지능, 패턴인식, 소프트웨어특강1, 졸업연구및진로1
(2학기) HCI개론, 컴파일러, 가상현실, 특허와창업, 소프트웨어특강2, 졸업연구및진로2, 모바일프로그래밍"
정보보호학과,과사무실 어디야,"정보보호학과 사무실
위치 : 대양AI센터 401호
전화 : 02)3408-4181"
정보보호학과,과사무실 위치,"정보보호학과 사무실
위치 : 대양AI센터 401호
전화 : 02)3408-4181"
정보보호학과,과사무실 전화번호,"정보보호학과 사무실
위치 : 대양AI센터 401호
전화 : 02)3408-4181"
정보보호학과,과사무실 정보 알려줘,"정보보호학과 사무실
위치 : 대양AI센터 401호
전화 : 02)3408-4181"
정보보호학과,공학교육센터,https://abeek.sejong.ac.kr/abeek/program0602.html
정보보호학과,공학인증,https://abeek.sejong.ac.kr/abeek/program0602.html
정보보호학과,공학인증 과정,https://abeek.sejong.ac.kr/abeek/program0602.html
정보보호학과,학과 홈페이지,http://home.sejong.ac.kr/~isdpt/
정보보호학과,학과 홈페이지 알려줘,http://home.sejong.ac.kr/~isdpt/
정보보호학과,학과 공지사항,http://home.sejong.ac.kr/~isdpt/6.html
정보보호학과,학과 공지사항 알려줘,http://home.sejong.ac.kr/~isdpt/6.html
정보보호학과,16학번 수강이수표,https://abeek.sejong.ac.kr/abeek/program0602_2.html
정보보호학과,17학번 수강이수표,https://abeek.sejong.ac.kr/abeek/program0602_3.html
정보보호학과,18학번 수강이수표,https://abeek.sejong.ac.kr/abeek/program0602_4.html
정보보호학과,19학번 수강이수표,https://abeek.sejong.ac.kr/abeek/program0602_6.html
정보보호학과,20학번 수강이수표,https://abeek.sejong.ac.kr/abeek/program0602_7.html
정보보호학과,21학번 수강이수표,https://abeek.sejong.ac.kr/abeek/program0602_8.html
정보보호학과,22학번 수강이수표,https://abeek.sejong.ac.kr/abeek/program0602_9.html
정보보호학과,23학번 수강이수표,https://abeek.sejong.ac.kr/abeek/program0602_10.html
정보보호학과,16학번 이수체계도,https://abeek.sejong.ac.kr/abeek/program0602_2.html
정보보호학과,17학번 이수체계도,https://abeek.sejong.ac.kr/abeek/program0602_3.html
정보보호학과,18학번 이수체계도,https://abeek.sejong.ac.kr/abeek/program0602_4.html
정보보호학과,19학번 이수체계도,https://abeek.sejong.ac.kr/abeek/program0602_6.html
정보보호학과,20학번 이수체계도,https://abeek.sejong.ac.kr/abeek/program0602_7.html
정보보호학과,21학번 이수체계도,https://abeek.sejong.ac.kr/abeek/program0602_8.html
정보보호학과,22학번 이수체계도,https://abeek.sejong.ac.kr/abeek/program0602_9.html
정보보호학과,23학번 이수체계도,https://abeek.sejong.ac.kr/abeek/program0602_10.html
정보보호학과,우리과 소개해줘,"정보보호학과는 컴퓨터 관련 기초기술 교육과 함께 정보보호분야의 전문 교육을 주목표로 하여, 안전한 정보처리환경 구축 및 관리를 위해 훈련된 정보보호 분야 전문인력 양성을 교육목표로 한다.
위와 같은 교육 목표를 달성하기 위하여 본 학과에서는 우선 컴퓨터 분야에 관하여 기본적이면서도 포괄적인 개념 습득 및 응용능력을 기르도록 하며, 이를 바탕으로 암호, 시스템 보안, 네트워크 보안 등 정보보호 분야의 전문적인 능력을 기르는데 주안점을 두고 있다."
정보보호학과,우리과 정보 알려줘,"정보보호학과는 컴퓨터 관련 기초기술 교육과 함께 정보보호분야의 전문 교육을 주목표로 하여, 안전한 정보처리환경 구축 및 관리를 위해 훈련된 정보보호 분야 전문인력 양성을 교육목표로 한다.
위와 같은 교육 목표를 달성하기 위하여 본 학과에서는 우선 컴퓨터 분야에 관하여 기본적이면서도 포괄적인 개념 습득 및 응용능력을 기르도록 하며, 이를 바탕으로 암호, 시스템 보안, 네트워크 보안 등 정보보호 분야의 전문적인 능력을 기르는데 주안점을 두고 있다."
정보보호학과,교수,http://home.sejong.ac.kr/~isdpt/12.html
정보보호학과,교수진,http://home.sejong.ac.kr/~isdpt/12.html
정보보호학과,자유게시판,http://home.sejong.ac.kr/~isdpt/14.html
정보보호학과,학과 취업 정보,http://home.sejong.ac.kr/~isdpt/14.html
정보보호학과,취업 정보,http://home.sejong.ac.kr/~isdpt/14.html
데이터사이언스학과,과사무실 어디야,"데이터사이언스학과 사무실
위치 : 대양AI센터 401호
전화 : 02-6935-2544"
데이터사이언스학과,과사무실 위치,"데이터사이언스학과 사무실
위치 : 대양AI센터 401호
전화 : 02-6935-2544"
데이터사이언스학과,과사무실 전화번호,"데이터사이언스학과 사무실
위치 : 대양AI센터 401호
전화 : 02-6935-2544"
데이터사이언스학과,과사무실 정보 알려줘,"데이터사이언스학과 사무실
위치 : 대양AI센터 401호
전화 : 02-6935-2544"
데이터사이언스학과,공학교육센터,http://abeek.sejong.ac.kr/abeek/program1602.html
데이터사이언스학과,공학인증,http://abeek.sejong.ac.kr/abeek/program1602.html
데이터사이언스학과,공학인증 과정,http://abeek.sejong.ac.kr/abeek/program1602.html
데이터사이언스학과,학과 홈페이지,http://home.sejong.ac.kr/~dsdpt/
데이터사이언스학과,학과 홈페이지 알려줘,http://home.sejong.ac.kr/~dsdpt/
데이터사이언스학과,학과 공지사항,http://home.sejong.ac.kr/~dsdpt/8.html
데이터사이언스학과,학과 공지사항 알려줘,http://home.sejong.ac.kr/~dsdpt/8.html
데이터사이언스학과,17학번 수강이수표,http://abeek.sejong.ac.kr/abeek/program1602_1.html
데이터사이언스학과,18학번 수강이수표,http://abeek.sejong.ac.kr/abeek/program1602_2.html
데이터사이언스학과,19학번 수강이수표,http://abeek.sejong.ac.kr/abeek/program1602_3.html
데이터사이언스학과,20학번 수강이수표,http://abeek.sejong.ac.kr/abeek/program1602_4.html
데이터사이언스학과,21학번 수강이수표,http://abeek.sejong.ac.kr/abeek/program1602_5.html
데이터사이언스학과,22학번 수강이수표,http://abeek.sejong.ac.kr/abeek/program1602_6.html
데이터사이언스학과,23학번 수강이수표,http://abeek.sejong.ac.kr/abeek/program1602_7.html
데이터사이언스학과,17학번 이수체계도,http://abeek.sejong.ac.kr/abeek/program1602_1.html
