intent,query,answer
법학부,조교실 정보 좀,"법학부 조교실 정보는 아래와 같습니다.
위치 : 집현관 305A호 / 전화 : 02-3408-3318"
법학부,과사무실,"법학부 과사무실 정보는 아래와 같습니다.
위치 : 집현관 305A호 / 전화 : 02-3408-3318"
법학부,과사무실 위치,법학부 과사무실 위치는 집현관 305A호입니다.
법학부,과사무실 전화번호,법학부 과사무실 전화번호는 02-3408-3318입니다.
법학부,홈페이지,"법학부 홈페이지입니다.
법학부 : http://home.sejong.ac.kr/~openmajor/"
법학부,공지사항,"법학부에서 제공하는 학과 공지사항입니다.
법학부 학과 공지사항 : http://home.sejong.ac.kr/~openmajor/5.html"
법학부,학과소개,"법학부는 향후 사회에서 경영, 언론, 공학 등 다양한 영역 발생할 법적 문제 해결을 위한 실무적 능력을 체계적·전문적으로 배양함으로써 법조계, 관계, 경제계, 언론계, 학계 등에서 국가 및 국내·외 사회발전에 기여할 수 있는 우수한 법률전문가의 양성에 그 주요한 목적으로 합니다."
법학부,주전공,"전공필수과목은 24학점, 전공선택과목은 36점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다."
법학부,복수전공,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다."
법학부,복전,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다."
법학부,전공,법학부 전공과목 중에서 21학점 이상 이수해야 합니다.
법학부,1학년 전공,"법학부 1학년 전공수업 목록은 아래와 같습니다.
[1학기] 법학부입문(전선·3)
[2학기] 인권과법(전선·3)"
법학부,2학년 전공,"법학부 2학년 전공수업 목록은 아래와 같습니다.
[1학기] 헌법1(전필·3), 형법총론(전필·3), 논리와논술(전선·3), 상행위법(전선·3), 채권총론(전선·3), 민법총칙(전선·3), 법학부적성평가연습1(전선·3)
[2학기] 계약법(전필·3), 물권법(전필·3), 민사소송법1(전필·3), 헌법2(전선·3), 형법각론(전선·3), 저작권법입문(전선·3), 법학부적성평가연습2(전선·3)"
법학부,3학년 전공,"법학부 3학년 전공수업 목록은 아래와 같습니다.
[1학기] 행정법1(전필·3), 형사소송법(전필·3), 노동법(전선·3), 민사소송법2(전선·3), 금융법입문(전선·3)
[2학기] 회사법(전필·3), 행정법2(전선·3), 법철학(전선·3), 친족상속법(전선·3)"
법학부,4학년 전공,"법학부 4학년 전공수업 목록은 아래와 같습니다.
[1학기] 졸업연구및진로1(전선·1), 공정거래법(전선·3), 세법(전선·3), 불법행위법(전선·3)
[2학기] 졸업연구및진로2(전선·1), 환경법(전선·3)"
법학부,전공,"법학부 전학년 전공수업 목록은 아래와 같습니다.
[1학년 1학기] 법학부입문(전선·3)
[1학년 2학기] 인권과법(전선·3)
[2학년 1학기] 헌법1(전필·3), 형법총론(전필·3), 논리와논술(전선·3), 상행위법(전선·3), 채권총론(전선·3), 민법총칙(전선·3), 법학부적성평가연습1(전선·3)
[2학년 2학기] 계약법(전필·3), 물권법(전필·3), 민사소송법1(전필·3), 헌법2(전선·3), 형법각론(전선·3), 저작권법입문(전선·3), 법학부적성평가연습2(전선·3)
[3학년 1학기] 행정법1(전필·3), 형사소송법(전필·3), 노동법(전선·3), 민사소송법2(전선·3), 금융법입문(전선·3)
[3학년 2학기] 회사법(전필·3), 행정법2(전선·3), 법철학(전선·3), 친족상속법(전선·3)
[4학년 1학기] 졸업연구및진로1(전선·1), 공정거래법(전선·3), 세법(전선·3), 불법행위법(전선·3)
[4학년 2학기] 졸업연구및진로2(전선·1), 환경법(전선·3)"
