대분류,소분류,내용
IT서비스,무선인터넷서비스,sejong 무선랜 서비스 대상 
IT서비스,무선인터넷서비스,세종대학교 소속 교직원, 재학생 및 졸업생
IT서비스,무선인터넷서비스,- 재학생 : 학번/학사정보시스템 비밀번호- 교직원 : 직번/교직원포탈 비밀번호※ 외부인의 경우 sejong-guest(암호 0234083114) 무선 네트워크를 사용하시면 됩니다.  (단, 무료로 제공되는 Wi-Fi 로 보안이 취악하므로 개인정보 유출에 유의하시기 바랍니다.)
IT서비스,무선인터넷서비스,- 재학생 : 학번/학사정보시스템 비밀번호- 교직원 : 직번/교직원포탈 비밀번호※ 외부인의 경우 sejong-guest(암호 0234083114) 무선 네트워크를 사용하시면 됩니다.  (단, 무료로 제공되는 Wi-Fi 로 보안이 취악하므로 개인정보 유출에 유의하시기 바랍니다.)
IT서비스,무선인터넷서비스,건물 실내 건물 외곽 • 집현관 : 1F ~ 10F• 군자관 : 지하 1F ~ 6F• 광개토관 : 지하 2F ~ 15F• 세종관 : 1F ~3F• 이당관 : 1F ~3F• 진관홀 : 지하 1F ~7F • 용덕관 : 1F ~4F• 율곡관 : 지하 1F ~7F • 충무관 : 지하 1F ~ 11F• 영실관 : 지하 1F ~6F • 다산관 : 1F, 2F , 4F • 모짜르트홀 : 1F ~ 3F• 대양홀 : 지하 1F ~5F • 학술정보원 : 지하 1F ~9F• 학생회관 : 지하 1F ~6F• 무방관 : 지하 1F ~4F• 새날관(행복기숙사) : 지하 1F ~1F• 대양AI센터 : 지하 2F ~8F• 학술정보원 =&gt; 진관홀 방향• 학술정보원 =&gt; 운동장 방향• 학생회관 =&gt; 대양홀 방향• 학생회관 =&gt; 세종관 방향• 집현관 =&gt; 모짜르트홀 방향 쉼터• 용덕관 =&gt; 애지헌 방향• 세종관(출입구) =&gt; 운동장 방향• 영실관 =&gt; 진입도로 부근* Wi-Fi 무선신호 특성상 음영지역이 있을 수 있으며, 서비스 품질을 보장하지 않습니다.
IT서비스,무선인터넷서비스,준비사항
IT서비스,무선인터넷서비스,운영체제• Windows 10• Macintosh OSX V10.4 이상• 무선보안(WPA2)지원 휴대용 단말기무선 LAN카드를 장착한 기기(인증 및 암호화기능을 제공) • Wi-Fi 또는 TTA 인증을 받은 무선 랜카드 장착 필수 (WPA2-AES 암호화 지원 확인)• 무선 랜카드는 제조사에서 제공하는 최신의(2009년도 5월이후) 드라이버를 설치하여야 보안기능이  정상 동작하며 가장 우수한 성능으로 사용할 수 있습니다.Wi-Fi 연결법 안내 • Windows 10 자체설정								--> • Windows XP 자체설정-->--> • 안드로이드 스마트폰								 • 애플계열 스마트폰								 • Windows 7, 8, 8.1 와이파이 접속 프로그램																	 • Windows 7 / 8 / 8.1 / 10 자체설정																									 • Windows XP 자체설정																									 • 안드로이드 스마트폰																									 • 애플계열 스마트폰																-->									 • 안드로이드 스마트폰 메일설정																									 • 애플계열 메일 설정 (아이폰, 아이패드, 아이팟)																									 • 종합 안내 파일 (다운 받아서 개인PC에 보관 권장)																																																																								 • Windows 7 자체설정																																								 • Windows Vista 자체설정 																																								 • Windows XP 자체설정																																								• 안드로이드 스마트폰  								 																																• 애플계열 스마트폰  								 																																 • 안드로이드 스마트폰 메일설정  																																								 • 애플계열 메일 설정 (아이폰, 아이패드, 아이팟) 																																								 • 종합 안내 파일 (다운 받아서 개인PC에 보관 권장)    																																아래 전용프로그램은 메모리 2G 이상일때 설치를 권장합니다. (속도가 느릴시 삭제후 자체설정 권장)																								   • Windows 2000 전용 (한글)																									  • Windows XP/Vista/7 용(32bit)																									 • Windows XP/Vista/7 용(64bit)																									  • Macintosh OSX																									• Wi-Fi를 지원하는 전자사전류 등  학술정보원 7층 전산운영과 서버룸으로 방문하여 기기의 고유주소(MAC Address)를 등록한 후 sejong이아닌 mobile 네트워크에 접속하여 사용하시기 바랍니다.																																																																							 • Windows 2000 전용 (한글)   																																			 • Windows XP/Vista/7 용(32bit)    																																			 • Windows XP/Vista/7 용(64bit)  																																			 • Macintosh OSX  																																			 • Wi-Fi를 지원하는 전자사전류 등율곡관 702호로 방문하여 기기의 고유주소(MAC Address)를 등록한 후 sejong이 아닌 mobile 네트워크에 접속하여 사용하시기 바랍니다.														
IT서비스,무선인터넷서비스,글로벌 로밍서비스 (eduroam)
IT서비스,무선인터넷서비스,eduroam은 국제적인 연구 및 교육을 위해 개발된 글로벌 무선 로밍 서비스로 우리대학 구성원은		eduroam에 가입된 전 세계의 기관 방문시, 학번 또는 직번@sejong.ac.kr / 포털시스템의 패스워드로 무선랜 서비스를 이용할 수 있습니다.
IT서비스,무선인터넷서비스,eduroam은 국제적인 연구 및 교육을 위해 개발된 글로벌 무선 로밍 서비스로 우리대학 구성원은		eduroam에 가입된 전 세계의 기관 방문시, 학번 또는 직번@sejong.ac.kr / 포털시스템의 패스워드로 무선랜 서비스를 이용할 수 있습니다.
IT서비스,무선인터넷서비스,eduroam은 국제적인 연구 및 교육을 위해 개발된 글로벌 무선 로밍 서비스로 우리대학 구성원은		eduroam에 가입된 전 세계의 기관 방문시, 학번 또는 직번@sejong.ac.kr / 포털시스템의 패스워드로 무선랜 서비스를 이용할 수 있습니다.
IT서비스,무선인터넷서비스,Wi-Fi 설정 문의 : 02-3408-4184(학술정보원 8층 전산운영과 서버룸으로 방문)
IT서비스,Virus백신설치(교내),백신프로그램 온라인설치 (Symantec Endpoint Protection)
