대분류,소분류,내용

해외파견프로그램,해외파견 프로그램,정규학기
해외파견프로그램,해외파견 프로그램,프로그램 종류
해외파견프로그램,해외파견 프로그램,교환학생방문학생복수학위일반지역전문가Global ExcellenceScholarship Program본교 등록금납부국제교류장학금 50% 제공면제국제교류장학금 70% 제공국제교류장학금 70% 제공상대교 등록금면제면제면제납부납부생활비200만원 지원기타상대교 3학년에 편입하여 세종대와 상대교 모두 학위 취득
해외파견프로그램,해외파견 프로그램,일정
해외파견프로그램,해외파견 프로그램,봄학기 파견가을학기 파견설명회3월 중9월 중접수5월 중11월 중면접6월 중12월 중발표7월 말1월 말오리엔테이션8월 말2월 말
해외파견프로그램,해외파견 프로그램,지원자격
해외파견프로그램,해외파견 프로그램,1. 본교 재학생 및 휴학생 (1학년 1학기 재학생 지원 가능) ※ 편입생의 경우 본교 1학기 재학 중인 자도 지원 가능 ※ 휴학생 지원 가능. 단, 파견학기에는 등록해야 함 ※ 마지막 학기(졸업직전 학기)는 반드시 세종대에서 수학을 해야 함2. 평점평균(GPA) 3.0 이상인 자 (단, 중화권을 포함한 아시아 대학은 2.5 이상인 자)3. 지원 대학별 어학조건을 충족하는 자 (대부분의 유럽 대학이 700점 이상, 아시아 대학이 600점 이상의 TOEIC 점수를 요구함.)4. 학칙에 의해 징계 받은 사실이 없는 자5. 해외여행에 결격사유(비자발급조건 등)가 없으며, 면접시까지 여권발급이 가능한 자6. 일본파견 학생의 경우, 파견 전 교내 일본어교육에 참여하여 일정 수준 달성이 가능한 자
해외파견프로그램,해외파견 프로그램,학점인정
해외파견프로그램,해외파견 프로그램,1. 최소 6학점 이수, 최대 18학점 이수2. 해외 교류 학점은 모두 P/NP로 인정됨(복수학위의 프로그램일 경우 예외)3. 수학 후 수업계획서 등 증빙자료를 바탕으로 학과장 승인 하에 최대 18학점까지 전공학점(전공필수 및 전공선택 모두 가능)으로 인정될 수 있음. 전공학점 이외는 교양학점으로 인정됨.
