대분류,소분류,내용
현역입영안내,현역입영안내,학생징병검사
현역입영안내,현역입영안내,만19세가 되는 사람 (그 해 1월 1일부터 12월 31일 사이에 출생한 사람)20세 이상인 사람으로서 징병검사 연기사유가 해소된 사람기타 병력법령에 의하여 징병검사를 받아야 할 사람학력 및 신체등위에 따른 병역처분
현역입영안내,현역입영안내,구분1급2급3급4급5급6급7급대학현 역보충역(공익근무)제2국민역병역 면제재검 대상자고졸고퇴·중졸
현역입영안내,현역입영안내,* 위 기준은 병역자원 수급사정에 따라 해마다 변경될 수 있음
현역입영안내,현역입영안내,재학생 입영연기
현역입영안내,현역입영안내,학생 본인이 개별적으로 연기원을 출원하지 않고, 재학하고 있는 학교의 장이 매년 3월 31일까지 작성하여 송부하는 학적보유자는 명부에 의거 지방병무청장이 직권으로 입영연기 처리학적보유자 명부에 의거 직권으로 입영연기 처리하기 전(3월~5월)에 입영통지된 사람은 입영전일까지 재학증명서(휴학증명서포함)를 발급받아 지방병무청(병무지청)에 입영연기신청서를 출원하면 연기 처리학교별 제한연령
현역입영안내,현역입영안내,전문대학대학대학원2년제3년제4년제5년제6년제4학기제5,6학기제22세23세24세25세26세26세27세				!-->
현역입영안내,현역입영안내,재학생 입영원 출원
현역입영안내,현역입영안내,재학생 입영연기 중에 입영을 원하는 사람이 언제든지 재학생입영신청서을 출원하여 입영하는 제도로서 입영통지서를 받은 후에 휴학하고 입영함으로써 학업공백을 최소화할 수 있음
현역입영안내,현역입영안내,출원대상
현역입영안내,현역입영안내,현역 또는 보충역으로서 재학생입영연기 중인 학생(휴학생 포함)
현역입영안내,현역입영안내,출원방법
현역입영안내,현역입영안내,병무청 홈페이지-전자민원창구-‘재학생입영신청’에서 인터넷으로 신청하거나, 지방병무청 민원실에 직접 또는 팩스로  신청
현역입영안내,현역입영안내,인터넷에 의한 입영일자/부대 직접 선택
현역입영안내,현역입영안내,재학 중 입영연기 중에 있는 사람은 병무청 홈페이지-전자민원창구-‘입영일자/부대 본인선택’에서 본인이 직접 입영일자/부대를 선택하면 개인별 사회적성에 따라 전산에 의거 결정됨(입영일자, 입영부대를 선택한 후에는 선택취소, 입영기일연기 등을 할 수 없음)
현역입영안내,현역입영안내,입영원의 취소
현역입영안내,현역입영안내,입영원의 취소
현역입영안내,현역입영안내,재학생입영원 취소사유가 발생하여 입영원의 취소를 원할 경우 병무청 홈페이지-민원서류 바로가기-‘징병검사 · 병역이행일자 변경신청서’를 출력(사유 : 학업계속), 작성하여 인터넷출원이나, FAX, 우체국, 지방병무청 민원실에 직접 제출하되, 재학생 입영신청 취소를 한 사람은 2개월 이내에 다시 재학생 입영신청을 할 수 없음(입영일자/부대 본인선택자는 취소신청 불가)
현역입영안내,현역입영안내,유의사항
현역입영안내,현역입영안내,재학입영신청서를 제출한 사람은 본인의 입영희망시기보다 다소 늦어지는 경우가 있으므로 미리 휴학하지 말고 입영통지서 수령 시까지 학업을 계속하다가 입영통지서를 수령한 후에 그 사본을 첨부하여 휴학하여야 학업공백을 줄일 수 있음
현역입영안내,현역입영안내,국외여행 허가
현역입영안내,현역입영안내,허가대상
현역입영안내,현역입영안내,25세 이상 자로서 제1국민역, 보충역 및 공익근무요원으로서 복무중인 사람, 각종 산업기능요원이나 전문연구요원으로서 의무종사 기간을 마치지 아니한 사람. 다만, 24세 이하 자도 현역, 보충역으로 복무중인 사람은 국외여행허가를 받아야 함.
현역입영안내,현역입영안내,구비서류
현역입영안내,현역입영안내,① 국외여행허가신청서(지방병무청 및 병무청홈페이지 비치)② 여행목적별 구비서류(체제목적 인정증명서) : 자세한 사항은 병무청 홈페이지 ‘국외여행’  참고
현역입영안내,현역입영안내,여행사유구비서류유학입학허가서 또는 재학증명서연수(훈련)연수 등 주관기관의 연수(훈련) 계획서, 입학허가서(재직증명서)국외 취업재외공관의 확인을 받은 취업증명서경기 참가1.아마츄어-대한체육회장 추천서						2.프로선수 - 소속 프로경기단체 법인명의 추천서						3.학생-학교장 추천서국외 이주해외이주신고확인서(외교통상부)대분류,소분류,내용
예비군 훈련안내,예비군 훈련안내,관장업무
예비군 훈련안내,예비군 훈련안내,대학생, 대학원생 및 교직원이 학업과 연구에 전념하면서 유사시 임무를 수행할 수 있도록 예비군 및 민방위조직을 활성화하고 자원을 관리하며 교육훈련을 실시하는 업무를 관장하고 있음.
예비군 훈련안내,예비군 훈련안내,예비군편성
예비군 훈련안내,예비군 훈련안내,편성대상
