대분류,소분류,내용
복지시설,학생생활상담소,학생생활상담소(부설 성폭력 상담실)는?
복지시설,학생생활상담소,대학생활에서 부딪히게 되는 여러 문제나 고민들을 전문상담원과 함께 생각해 보고 구체적인 해결책을 찾을 수 있습니다.			그리고 여러 사람들과의 만남을 통해 나와 남에 대한 이해를 높이고 보다 객관적으로 나를 둘러볼 수 있는 곳입니다.  또 한 대학 내에서 암묵적으로 발생하고 있는 성폭력, 성추행 등의 경험으로 괴로워 하는 사람을 위해 정서적인 안정을 찾도록 하며, 적절한 대처방안을 제공합니다. 세종대 학생은 누구나 자유롭게 이용할 수 있으며 모든 검사 및 상담서비스는 무료입니다.
복지시설,학생생활상담소,위치 및 이용시간
복지시설,학생생활상담소,위치 : 
복지시설,학생생활상담소,학생회관 310호 ( T / 3408-3336 E / socre@sejong.ac.kr )
복지시설,학생생활상담소,이용시간 : 
복지시설,학생생활상담소,접수면접 및 심리검사(월~금 오전 9시부터 오후 5시까지) / 심리검사 해석 및 개인상담시간은 접수면접 후 개별 안내
복지시설,학생생활상담소,프로그램 및 활동안내
복지시설,학생생활상담소,개인상담
복지시설,학생생활상담소,개인상담은 5~6회를 기본으로 하며(1주일에 1회), 경우에 따라 단회(1학기) 또는 장기상담이 가능하다. 1회 상담은 약 50분 정도가 소요된다. 상담신청방법은 상담소에 방문하시거나 홈페이지에서 온라인 신청 가능합니다.
복지시설,학생생활상담소,집단상담
복지시설,학생생활상담소,집단상담은 자발적을 신청한 학생들로 구성된 소집단 안에서 여러 사람들과 대화함으로써 나와 남에 대한 이해를 증진시키는 과정 이다. 주1회 정기적인 만남으로 이루어지며, 상담의 모든 과정은 훈련받은 전문상담의 지도아래 이루어진다.
복지시설,학생생활상담소,성폭력 상담
복지시설,학생생활상담소,대학내에서 암묵적으로 발생하고 있는 성폭력, 성희롱, 성추행, 성차별 등의 경험으로 괴로워하는 사람을 돕습니다. 전문 상담원과의 만남을 통해 정서적 안정을 도모하고 적절한 대처방안을 제공한다.
복지시설,학생생활상담소,심리검사
