구분,동아리,설립목적/주요활동내역,창립일,위치,홈페이지,사용여부
공연,늘혬코러스,"ROCK 음악 대중화, 정기공연",1988. 4,학생회관 510호,https://cafe.daum.net/nlheam,X
공연,더블랙,흑인음악(공연), ,학생회관 620호, ,X
공연,소리더하기,"ROCK 음악, 민중가요, 정기공연",1990. 10,학생회관 B208호, ,X
공연,소울트레인,흑인음악(공연), ,학생회관 B201호, ,X
공연,세종극회,"연극, 연습과 정기공연",1987. 11,학생회관 526호, ,X
공연,인트로,힙합 연구 및 공연,1997. 5,학생회관 B202호, ,X
공연,터벌림,"전통풍물의 연구 및 보급, 공연",1984. 11,학생회관 621호,https://cafe.daum.net/1661,X
공연,페이지7,ROCK 공연,1993. 7,학생회관 605호,https://cafe.daum.net/p7,X
공연,한울림,"고전기타 연구 및 보급, 공연",1984. 4,학생회관 514호, ,X
체육,러쉬,"농구, 정기 연습과 농구시합",1994. 5,학생회관 516호, ,X
체육,발파람,태껸,2003. 3,학생회관 503호,https://cafe.daum.net/taekkyun2003,O
체육,브라운스킨,헬스 및 수영,1988. 3,학생회관 502호, ,X
체육,STC,"테니스, 정기연습과 시합참가",1981. 10,학생회관 508호, ,X
체육,요트부,요트 훈련 및 대회참가. 학교간 연합교류,1975. 4,학생회관 528호,https://cafe.naver.com/sejongyacht,X
체육,세종킹스,"야구, 훈련 및 대회참가", ,학생회관 519호,https://cafe.daum.net/sejongkings,O
체육,최강유도,유도 및 체력단련, ,학생회관 529호, ,X
체육,JUMP(점프),스노우보드, ,학생회관 604호, ,X
체육,TSP,"탁구, 정기연습 및 대회참가", ,학생회관 511호, ,X
봉사,SELS,영어 봉사, ,학생회관 504호, ,X
봉사,죽순회,"농촌 및 사회봉사활동, 재활원 정기 방문",1965. 6,학생회관 532호,https://cafe.daum.net/sjjs,X
문화,마스터,게임연구 및 보급, ,학생회관 603호,https://cafe.daum.net/sejonggamerz,X
문화,율,"몸짓패, 민중가요를 몸으로 표현",2001. 3,학생회관 506호, ,X
문화,유스호스텔,"건전한 여행문화 창달, 주말 장기여행",1977. 11,학생회관 509호,https://cafe.daum.net/sejongyh,X
문화,한손,"대학 만화 보급, 전시",1987. 11,학생회관 522호,https://cafe.naver.com/sghanson,X
문화,미즈,대중문화 감시, ,학생회관 602호, ,X
문화,두바퀴,안전하고 즐거운 이륜차 문화 정착, ,학생회관 624호, ,X
문화,BAMBOO,"사진연구, 사진회, 출사", ,학생회관 507, ,X
학술,별무리,"아마추어 천문학, 밤하늘에 대한 지식습득",1997. 3,학생회관 524호, ,X
학술,세종서회,"서예연구, 정기전시회",1981. 3,학생회관 512호, ,X
학술,인터페이스,컴퓨터 연구 및 전시,1989. 8,학생회관 518호, ,X
학술,UNSA,"국제연합학생회, 국제문제에 대한 지식보급",1967. 4,학생회관 521호, ,X
학술,KUSA,"유네스코 학생회, 시사문제, 역사, 경제, 철학연구",1960. 4,학생회관 515호, ,X
학술,유마프랜,"공모전참여, 마케팅 스터디 실시", ,학생회관 606호, ,X
학술,세종문학회,"문화탐구, 토론 및 작품합평", ,학생회관 607호, ,X
종교,레지나,"카톨릭, 성경공부, 봉사활동",1962. 5,학생회관 520호, ,X
종교,IVF,한국기독학생회,1990. 2,학생회관 523호, ,X
종교,JYM,"기쁨선교회, 성경의 공동체, 전도, 성경공부",1985. 3,학생회관 517호,https://cafe.daum.net/jymofchrist,X
종교,CAM,"기도와 훈련된 복음화, 성경공부",1973. 7,학생회관 622호, ,X
종교,C.C.C,"한국대학생선교회, 기독교 전도, 육성",1985. 9,학생회관 623호, ,X
종교,KSGI(창가학회),한국불교회,1989. 4,학생회관 501호, ,X
