intent,query,answer
link,세종대학교 홈페이지,http://www.sejong.ac.kr/
link,학생경력개발시스템 홈페이지,https://udream.sejong.ac.kr/
link,학생경력개발시스템 홈페이지,https://do.sejong.ac.kr/
link,학술정보원 홈페이지,https://library.sejong.ac.kr/index.ax
link,대양휴머니티칼리지 홈페이지,http://classic.sejong.ac.kr/
link,홍보실 홈페이지,http://www.sejongpr.ac.kr/index.do
link,SKBS 홈페이지,http://www.sejong.ac.kr/unilife/skbs.html
link,행복기숙사 홈페이지,https://happydorm.sejong.ac.kr/
link,입학처 홈페이지,http://ipsi.sejong.ac.kr/
link,세종대학교포털,https://portal.sejong.ac.kr/user/index.do
link,인터넷증명발급센터,https://uni.webminwon.com/servlet/WMINDEX?COMMAND=CHOICE
link,학생생활상담소 홈페이지,http://home.sejong.ac.kr/~scc/
link,공학교육센터 홈페이지,http://abeek.sejong.ac.kr/index.do
link,국제교육원 홈페이지,http://ili.sejong.ac.kr/index.do
link,세종대학교 국제교류센터,http://oia.sejong.ac.kr/index.do
link,집현캠퍼스 홈페이지,https://online.sejong.ac.kr/
link,국어국문학과 홈페이지,http://home.sejong.ac.kr/~kordpt/
link,영어영문과 홈페이지,http://home.sejong.ac.kr/~engdpt/
link,일어일문학과 홈페이지,http://home.sejong.ac.kr/~japan/
link,중국통상학 홈페이지,http://home.sejong.ac.kr/~cndpt/
link,CK산업단 홈페이지,http://home.sejong.ac.kr/~hsk/
link,역사학과 홈페이지,http://home.sejong.ac.kr/~histdpt/
link,교육학과 홈페이지,http://home.sejong.ac.kr/~edudpt/
link,행정학과 홈페이지,http://home.sejong.ac.kr/~admdpt/
link,미디어커뮤니케이션학과 홈페이지,http://home.sejong.ac.kr/~nnbdpt/
link,경제학과 홈페이지,http://home.sejong.ac.kr/~entdpt/
link,경영학과 홈페이지,http://home.sejong.ac.kr/~mnadpt/
link,호텔관경영학과 홈페이지,http://home.sejong.ac.kr/~hoteldpt/
link,외식경영학과 홈페이지,홈페이지를 제공하고있지 않습니다.
link,호텔외관광프랜차이즈경영학과 홈페이지,http://home.sejong.ac.kr/~hoteldpt/
link,호텔외식비즈니스학과 홈페이지,http://home.sejong.ac.kr/~hoteldpt/
link,글로벌조리학과 홈페이지,http://home.sejong.ac.kr/~hoteldpt/
link,수학통계학과 홈페이지,http://home.sejong.ac.kr/~appmath/
link,물리천문학과 홈페이지,http://home.sejong.ac.kr/~phyastrodpt/
link,화학과 홈페이지,http://home.sejong.ac.kr/~chemdpt/
