intent,query,answer
예체능대학,학과 뭐 있어,"예체능대학에는 회화과, 패션디자인학과, 음악과, 체육학과, 무용과, 영화예술학과가 존재합니다."
예체능대학,조교실 정보 좀,"예체능대학 조교실 정보는 아래와 같습니다.
위치 : 군자관 408호 / 전화 : 02-3408-3525"
예체능대학,과사무실,"예체능대학 과사무실 정보는 아래와 같습니다.
위치 : 군자관 408호 / 전화 : 02-3408-3525"
예체능대학,과사무실 위치,예체능대학 과사무실 위치는 군자관 408호입니다.
예체능대학,과사무실 전화번호,예체능대학 과사무실 전화번호는 02-3408-3525입니다.
회화과,조교실 정보 좀,"회화과 조교실 정보는 아래와 같습니다.
위치 : 진관홀 310호 / 전화 : 02-3408-3322"
회화과,과사무실,"회화과 과사무실 정보는 아래와 같습니다.
위치 : 진관홀 310호 / 전화 : 02-3408-3322"
회화과,과사무실 위치,회화과 과사무실 위치는 진관홀 310호입니다.
회화과,과사무실 전화번호,회화과 과사무실 전화번호는 02-3408-3322입니다.
회화과,홈페이지,"회화과 홈페이지입니다.
회화과 : http://home.sejong.ac.kr/~picdpt/"
회화과,학과소개,"회화과는 한국화와 서양화로 분리하여 각각의 개성에 맞는 창작활동을 전공할 수 있으며, 실기와 미술이론 교육을 병행하여 역량 있고, 개성 있는 훌륭한 미술전문가로 양성시킴을 목표로 합니다."
회화과,주전공,"전공필수과목은 26학점, 전공선택과목은 40점 이상 이수해야 하며, 전공학점은 66점 이상이어야 합니다."
회화과,복수전공,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다."
회화과,복전,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다."
회화과,부전공,회화과 전공과목 중에서 21학점 이상 이수해야 합니다.
회화과,1학년 전공,"회화과 1학년 전공수업 목록은 아래와 같습니다.
[1학기] 기초회화1(전필·2), 기초한국화1(전필·2), 기초소묘(전선·2), 서양미술사1(전선·2)
[2학기] 기초회화2(전필·2), 기초한국화2(전필·2), 드로잉(전선·2), 동양미술사(전선·2)"
회화과,2학년 전공,"회화과 2학년 전공수업 목록은 아래와 같습니다.
[1학기] 인물화(전필·3), 기초서양화1(전필·3), 수묵화(전선·2), 유화기법1(전선·2), 한국미술사(전선·2), 공간연구(전선·2), 컴퓨터드로잉1(전선·2)
[2학기] 한.표현기법(전필·3), 기초서양화2(전필·3), 채색화(전선·2), 유화기법2(전선·2), 서양미술사2(전선·2), 미술비평(전선·2), 컴퓨터드로잉2(전선·2)"
회화과,3학년 전공,"회화과 3학년 전공수업 목록은 아래와 같습니다.
[1학기] 한국화1(전필·3), 유화1(전필·3), 한.현대회화(전선·2), 서.현대회화(전선·2), 현대미술론(전선·2), 멀티미디어와회화1(전선·2), 미술교과교육론(전선·2)
[2학기] 한국화2(전필·3), 유화2(전필·3), 현대산수연구(전선·2), 서.복합매체기법(전선·2), 멀티미디어와회화2(전선·2), 미술논리및논술(전선·2), 미술교과교재연구및지도법(전선·2), 판화(전선·2)"
