intent,query,answer
인문과학대학,학과 뭐 있어,"인문과학대학에는 국어국문학과, 영어영문학전공, 일어일문학전공, 중국통상학전공, 역사학과, 교육학과가 존재합니다."
인문과학대학,조교실 정보 좀,"인문과학대학 조교실 정보는 아래와 같습니다.
위치 : 집현관 801호 / 전화 : 02-3408-3520"
인문과학대학,과사무실 정보,"인문과학대학 과사무실 정보는 아래와 같습니다.
위치 : 집현관 801호 / 전화 : 02-3408-3520"
인문과학대학,과사무실 위치,인문과학대학 과사무실 위치는 집현관 801호입니다.
인문과학대학,과사무실 전화번호,인문과학대학 과사무실 전화번호는 02-3408-3520입니다.
국어국문학과,조교실 정보 좀,"국어국문학과 조교실 정보는 아래와 같습니다.
위치 : 집현관 908호 / 전화 : 02-3408-4301"
국어국문학과,과사무실 정보,"국어국문학과 과사무실 정보는 아래와 같습니다.
위치 : 집현관 908호 / 전화 : 02-3408-4301"
국어국문학과,과사무실 위치,국어국문학과 과사무실 위치는 집현관 908호입니다.
국어국문학과,과사무실 전화번호,국어국문학과 과사무실 전화번호는 02-3408-4301입니다.
국어국문학과,학과 홈페이지,"국어국문학과 홈페이지입니다.
국어국문학과 : http://www.sejong.ac.kr/college/liberal_01_1.html"
국어국문학과,학과 공지사항,국어국문학과 홈페이지에 올라온 공지사항이 없습니다. 자세한 사항은 과별 단톡방 혹은 다른 방식으로 참고해야 합니다.
국어국문학과,전공소개,"국어국문학과는 우리 민족의 생활 감정·생활 방식·철학 등을 이해하고, 우리말·우리글의 우수성을 인식함으로써 세계사 속에서 한국의 위상과 역할에 대한 뚜렷한 인식을 지닌 자주적이고 미래지향적인 한국인을 양성하기 위한 학문입니다. 이를 위해 국어학 자료와 국문학 작품을 과학적으로 탐구하여 그 특성을 체계적으로 이해하는 데 교육목표를 둡니다."
국어국문학과,주전공,"전공필수과목은 15학점, 전공선택과목은 45점 이상 이수해야 하며, 전공학점은 60점 이상이어야 합니다."
국어국문학과,복수전공,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다."
국어국문학과,복전,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다."
국어국문학과,부전공,국어국문학과 전공과목 중 21학점 이상 이수해야 합니다.
