intent,query,answer
전자정보공학대학,학과 뭐 있어,"전자정보공학대학에는 전자정보통신학과, 반도체시스템공학과가 존재합니다."
전자정보공학대학,조교실 정보 좀,"전자정보공학대학 조교실 정보는 아래와 같습니다.
위치 : 충무관 1107호 / 전화 : 02-6935-2546"
전자정보공학대학,과사무실,"전자정보공학대학 과사무실 정보는 아래와 같습니다.
위치 : 충무관 1107호 / 전화 : 02-6935-2546"
전자정보공학대학,과사무실 위치,전자정보공학대학 과사무실 위치는 충무관 1107호입니다.
전자정보공학대학,과사무실 전화번호,전자정보공학대학 과사무실 전화번호는 02-6935-2546입니다.
전자정보통신공학과,조교실 정보 좀,"전자정보통신공학과 조교실 정보는 아래와 같습니다.
위치 : 충무관 922호 / 전화 : 02-3408-4467, 02-3408-3329 / 이메일 : ecomclg@sejong.ac.kr"
전자정보통신공학과,과사무실,"전자정보통신공학과 과사무실 정보는 아래와 같습니다.
위치 : 충무관 922호 / 전화 : 02-3408-4467, 02-3408-3329 / 이메일 : ecomclg@sejong.ac.kr"
전자정보통신공학과,과사무실 위치,전자정보통신공학과 과사무실 위치는 충무관 922호입니다.
전자정보통신공학과,과사무실 전화번호,"전자정보통신공학과 과사무실 전화번호는 02-3408-4467, 02-3408-3329입니다."
전자정보통신공학과,이메일,전자정보통신공학과 과사무실 이메일은 ecomclg@sejong.ac.kr입니다.
전자정보통신공학과,홈페이지,"전자정보통신공학과 홈페이지입니다.
전자정보통신공학과 : http://home.sejong.ac.kr/~electrodpt/"
전자정보통신공학과,공지사항,"전자정보통신공학과에서 제공하는 학과 공지사항입니다.
전자정보통신공학과 학과 공지사항 : http://home.sejong.ac.kr/gobbslist.do?wslID=electrodpt&menuID=48"
전자정보통신공학과,취업공고,"전자정보통신공학과에서 제공하는 취업공고입니다.
전자정보통신공학과 취업공고 : http://home.sejong.ac.kr/gobbslist.do?wslID=electrodpt&menuID=47"
전자정보통신공학과,전공소개,"전자 및 정보화시대에 부응하는 융합적인 사고와 지식을 겸비한 인재의 양성을 목표로 하고 있다. 전자정보통신공학과 학생들은 전자공학분야의 핵심 전공 지식을 습득하고 이를 다양한 산업분야의 응용 기술에 접목할 수 있는 실력을 갖추어, 미래 사회 및 산업체에서 요구하는 핵심 인재의 역할을 수행할 수 있게 됩니다."
전자정보통신공학과,주전공,"전공필수과목은 33학점, 전공선택과목은 39점 이상 이수해야 하며, 전공학점은 72점 이상이어야 합니다."
전자정보통신공학과,복수전공,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다. 복수전공 이수시 공학인증은 필수가 아니지만, 이수를 희망하면 각 학과의 PD교수님과 면담하여 각 학과에서 정한 기준을 만족하면 됩니다."
전자정보통신공학과,복전,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다. 복수전공 이수시 공학인증은 필수가 아니지만, 이수를 희망하면 각 학과의 PD교수님과 면담하여 각 학과에서 정한 기준을 만족하면 됩니다."
전자정보통신공학과,부전공,전자정보통신공학과 전공과목 중에서 21학점 이상 이수해야 합니다. 부전공 이수시 공학인증은 필수가 아닙니다.
전자정보통신공학과,1학년 전공,"전자정보통신공학과 1학년 전공수업 목록은 아래와 같습니다.
[1학기] 선형대수(전필·3)
[2학기] 프로그래밍(전필·3)"
전자정보통신공학과,2학년 전공,"전자정보통신공학과 2학년 전공수업 목록은 아래와 같습니다.
[1학기]전기회로(전필·3), 확률및랜덤변수(전필·3), MATLAB프로그래밍(전선·3), 디지털논리회로(전선·3)
[2학기] 신호및시스템(전필·3), 기초설계(전필·3), 물리전자공학(전필·3), JAVA프로그래밍(전선·3), 전기회로실험(전선·3), 컴퓨터구조론(전선·3)"
