intent,query,answer
호텔관광대학,학과 뭐 있어,"호텔관광대학에는 호텔관광경영학전공, 외식경영학전공, 호텔외식관광프랜차이즈경영학과, 호텔외식비즈니스학과, 글로벌조리학과가 존재합니다."
호텔관광대학,조교실 정보 좀,"호텔관광대학 조교실 정보는 아래와 같습니다.
위치 : 광개토관 501호 / 전화 : 02-3408-3516"
호텔관광대학,과사무실,"호텔관광대학 과사무실 정보는 아래와 같습니다.
위치 : 광개토관 501호 / 전화 : 02-3408-3516"
호텔관광대학,과사무실 위치,호텔관광대학 과사무실 위치는광개토관 501호입니다.
호텔관광대학,과사무실 전화번호,호텔관광대학 과사무실 전화번호는 02-3408-3516입니다.
호텔관광외식경영학부,조교실 정보 좀,"호텔관광외식경영학부 조교실 정보는 아래와 같습니다.
위치 : 광개토관 517호 / 전화 : 02-3408-3312, 02-3408-3313, 02-3408-3314"
호텔관광외식경영학부,과사무실,"호텔관광외식경영학부 과사무실 정보는 아래와 같습니다.
위치 : 광개토관 517호 / 전화 : 02-3408-3312, 02-3408-3313, 02-3408-3314"
호텔관광외식경영학부,과사무실 위치,호텔관광외식경영학부 과사무실 위치는 광개토관 517호입니다.
호텔관광외식경영학부,과사무실 전화번호,"호텔관광외식경영학부 과사무실 전화번호는 02-3408-3312, 02-3408-3313, 02-3408-3314입니다."
호텔관광외식경영학부,전공,"호텔관광외식경영학부의 신입생은 공동으로 입학하여 1학년 과정을 함께 이수한 후, 2학년부터는 3개의 전공 중 한 전공에 편입되어 남은 6학기 과정을 마치게 됩니다. 2개의 전공은 호텔관광경영학전공, 외식경영학전공입니다."
호텔관광외식경영학부,1학년 전공,"호텔관광외식경영학부 1학년 전공수업 목록은 아래와 같습니다.
[1학기] 경영학원론(전필·3), 경제학원론(전필·3), 호텔관광산업의이해(전선·3)
[2학기] 회계원리(전필·3), 외식식품산업의이해(전선·3)"
호텔관광경영학전공,조교실 정보 좀,"호텔관광경영학전공 조교실 정보는 아래와 같습니다.
위치 : 광개토관 517호 / 전화 : 02-3408-3312, 02-3408-3314"
호텔관광경영학전공,과사무실,"호텔관광경영학전공 과사무실 정보는 아래와 같습니다.
위치 : 광개토관 517호 / 전화 : 02-3408-3312, 02-3408-3314"
호텔관광경영학전공,과사무실 위치,호텔관광경영학전공 과사무실 위치는 광개토관 517호입니다.
호텔관광경영학전공,과사무실 전화번호,"호텔관광경영학전공 과사무실 전화번호는 02-3408-3312, 02-3408-3314입니다."
호텔관광경영학전공,홈페이지,"호텔관광경영학전공 홈페이지입니다.
호텔관광경영학전공 : http://home.sejong.ac.kr/~hoteldpt/"
호텔관광경영학전공,공지사항,"호텔관광경영학전공에서 제공하는 공지사항입니다.
호텔광관경영학과 공지사항 : http://home.sejong.ac.kr/gobbslist.do?wslID=hoteldpt&menuID=32"
호텔관광경영학전공,취업공고,"호텔관광경영학전공에서 제공하는 취업공고입니다.
호텔관광경영학전공 취업공고 : http://home.sejong.ac.kr/gobbslist.do?wslID=hoteldpt&menuID=14"
호텔관광경영학전공,전공소개,"본 학과는 미래의 전략산업인 호텔관광산업의 역군이 될 인재를 교육하고 양성하기 위하여, 호텔관광관련 학과로 국내에서 최초로 설립된 오랜 전통을 지니고 있으며 이를 통하여 본교는 우리나라의 대표적인 호텔관광 교육의 요람으로 발전해 가고 있습니다."
호텔관광경영학전공,주전공,"전공필수과목은 24학점, 전공선택과목은 36점 이상 이수해야 하며, 전공학점은 60점 이상이어야 합니다."
호텔관광경영학전공,복수전공,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다."
호텔관광경영학전공,복전,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다."
호텔관광경영학전공,부전공,호텔관광경영학전공 전공과목 중에서 21학점 이상 이수해야 합니다.
호텔관광경영학전공,2학년 전공,"호텔관광경영학전공 2학년 전공수업 목록은 아래와 같습니다.
[1학기] 호텔경영론(전필·3), 관광경영론(전필·3), 호텔관광마케팅(전필·3), 호텔관광관리회계(전선·3), 호텔경영정보시스템(전선·3), 축제경영연구(전선·3), 관광자원론(전선·3), HTM-컴퓨터프로그래밍(전선·3)
[2학기] 호텔관광경영통계원론(전필·3), 호텔관광조직인적자원관리론(전필·3), 호텔관광재무회계(전선·3), 마케팅조사론(전선·3), 호텔관광프랜차이즈경영론(전선·3), 서비스경영론(전선·3), 여가사회학(전선·3), Hospitality Internship 1(전선·3), 서비스운영관리(전선·3)"
